latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.862915,87.64876,1167.0,-21600,America/Chicago,CST

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),wind_speed_10m_max (km/h)
2014-01-01,-3.6,-13.2,-8.6,2013-12-31T19:37,2014-01-01T04:48,0.00,9.2
2014-01-02,-3.7,-14.0,-9.2,2014-01-01T19:37,2014-01-02T04:49,0.00,8.8
2014-01-03,-2.4,-14.2,-9.0,2014-01-02T19:37,2014-01-03T04:50,0.00,10.4
2014-01-04,-2.6,-15.2,-7.9,2014-01-03T19:37,2014-01-04T04:51,0.00,11.5
2014-01-05,-1.3,-14.4,-8.4,2014-01-04T19:37,2014-01-05T04:52,0.00,13.0
2014-01-06,-4.5,-14.6,-10.0,2014-01-05T19:37,2014-01-06T04:53,0.00,11.9
2014-01-07,-6.0,-15.6,-11.0,2014-01-06T19:37,2014-01-07T04:54,0.00,13.3
2014-01-08,-6.2,-17.6,-12.5,2014-01-07T19:36,2014-01-08T04:55,0.00,15.9
2014-01-09,-5.4,-16.4,-10.2,2014-01-08T19:36,2014-01-09T04:56,0.00,9.8
2014-01-10,-4.0,-13.9,-8.8,2014-01-09T19:36,2014-01-10T04:57,0.00,6.6
2014-01-11,-3.7,-12.8,-9.0,2014-01-10T19:36,2014-01-11T04:58,0.00,13.0
2014-01-12,-4.2,-16.6,-10.3,2014-01-11T19:35,2014-01-12T04:59,0.00,13.0
2014-01-13,-2.0,-14.8,-7.7,2014-01-12T19:35,2014-01-13T05:00,0.00,11.2
2014-01-14,-0.6,-13.6,-6.8,2014-01-13T19:35,2014-01-14T05:01,0.00,9.0
2014-01-15,-1.3,-14.0,-6.9,2014-01-14T19:34,2014-01-15T05:02,0.00,11.2
2014-01-16,0.1,-12.5,-7.0,2014-01-15T19:34,2014-01-16T05:03,0.00,11.5
2014-01-17,-0.0,-13.8,-6.2,2014-01-16T19:33,2014-01-17T05:05,0.00,8.9
2014-01-18,-1.1,-9.4,-5.7,2014-01-17T19:33,2014-01-18T05:06,0.00,10.5
2014-01-19,-0.1,-12.6,-5.8,2014-01-18T19:32,2014-01-19T05:07,0.00,17.3
2014-01-20,1.3,-11.4,-4.7,2014-01-19T19:32,2014-01-20T05:08,0.00,9.4
2014-01-21,2.1,-7.5,-3.4,2014-01-20T19:31,2014-01-21T05:09,0.00,11.5
2014-01-22,2.3,-9.8,-4.3,2014-01-21T19:30,2014-01-22T05:11,0.00,13.0
2014-01-23,0.4,-11.5,-4.9,2014-01-22T19:30,2014-01-23T05:12,0.00,10.8
2014-01-24,1.2,-10.8,-4.8,2014-01-23T19:29,2014-01-24T05:13,0.00,10.3
2014-01-25,2.0,-9.9,-4.0,2014-01-24T19:28,2014-01-25T05:14,0.00,9.8
2014-01-26,3.0,-9.6,-2.6,2014-01-25T19:27,2014-01-26T05:16,0.00,9.7
2014-01-27,2.9,-8.5,-2.8,2014-01-26T19:26,2014-01-27T05:17,0.00,12.4
2014-01-28,3.7,-10.2,-3.3,2014-01-27T19:26,2014-01-28T05:18,0.00,13.4
2014-01-29,3.7,-7.9,-1.7,2014-01-28T19:25,2014-01-29T05:19,0.00,11.2
2014-01-30,5.8,-7.2,-0.1,2014-01-29T19:24,2014-01-30T05:21,0.00,16.6
2014-01-31,6.1,-6.3,0.0,2014-01-30T19:23,2014-01-31T05:22,0.00,16.2
2014-02-01,4.8,-7.2,-2.1,2014-01-31T19:22,2014-02-01T05:23,0.00,18.4
2014-02-02,3.0,-8.5,-3.0,2014-02-01T19:21,2014-02-02T05:24,0.00,17.3
2014-02-03,1.7,-9.0,-3.5,2014-02-02T19:20,2014-02-03T05:26,0.00,19.9
2014-02-04,0.1,-11.5,-5.5,2014-02-03T19:18,2014-02-04T05:27,0.00,13.7
2014-02-05,-3.1,-8.9,-6.0,2014-02-04T19:17,2014-02-05T05:28,0.00,14.0
2014-02-06,-3.3,-13.6,-8.6,2014-02-05T19:16,2014-02-06T05:30,0.00,15.1
2014-02-07,-2.8,-10.1,-6.2,2014-02-06T19:15,2014-02-07T05:31,0.00,15.7
2014-02-08,-2.0,-15.5,-8.3,2014-02-07T19:14,2014-02-08T05:32,0.00,17.4
2014-02-09,-2.0,-13.5,-6.9,2014-02-08T19:13,2014-02-09T05:34,0.00,11.3
2014-02-10,-2.2,-14.6,-7.8,2014-02-09T19:11,2014-02-10T05:35,0.00,10.2
2014-02-11,-1.7,-14.1,-6.8,2014-02-10T19:10,2014-02-11T05:36,0.00,8.7
