latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
25.764498,-80.196075,6.0,-18000,America/New_York,EST

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),wind_speed_10m_max (km/h)
2014-01-01,26.0,23.0,24.1,2014-01-01T07:07,2014-01-01T17:41,1.00,24.2
2014-01-02,27.0,22.4,24.6,2014-01-02T07:07,2014-01-02T17:42,0.00,21.9
2014-01-03,22.4,16.9,19.0,2014-01-03T07:08,2014-01-03T17:42,0.20,32.0
2014-01-04,23.5,19.1,21.6,2014-01-04T07:08,2014-01-04T17:43,0.80,21.5
2014-01-05,25.8,22.8,24.0,2014-01-05T07:08,2014-01-05T17:44,1.20,26.6
2014-01-06,27.0,16.8,23.5,2014-01-06T07:08,2014-01-06T17:44,0.80,33.4
2014-01-07,17.0,12.4,15.1,2014-01-07T07:08,2014-01-07T17:45,8.40,35.3
2014-01-08,22.3,17.2,20.1,2014-01-08T07:08,2014-01-08T17:46,14.50,32.6
2014-01-09,23.8,22.3,23.2,2014-01-09T07:08,2014-01-09T17:46,4.80,27.3
2014-01-10,25.9,22.8,24.1,2014-01-10T07:08,2014-01-10T17:47,0.30,24.2
2014-01-11,26.4,22.9,24.4,2014-01-11T07:09,2014-01-11T17:48,0.00,24.8
2014-01-12,24.0,21.4,22.4,2014-01-12T07:09,2014-01-12T17:49,0.00,18.3
2014-01-13,25.3,22.0,23.6,2014-01-13T07:09,2014-01-13T17:49,0.00,13.8
2014-01-14,26.9,21.4,24.1,2014-01-14T07:08,2014-01-14T17:50,0.10,18.5
2014-01-15,21.3,17.0,19.7,2014-01-15T07:08,2014-01-15T17:51,5.30,19.0
2014-01-16,16.9,12.0,14.9,2014-01-16T07:08,2014-01-16T17:52,0.20,29.5
2014-01-17,18.2,9.9,13.9,2014-01-17T07:08,2014-01-17T17:52,0.00,19.0
2014-01-18,19.4,13.9,16.2,2014-01-18T07:08,2014-01-18T17:53,0.00,20.9
2014-01-19,19.2,10.4,14.9,2014-01-19T07:08,2014-01-19T17:54,0.00,16.3
2014-01-20,22.8,15.2,19.1,2014-01-20T07:08,2014-01-20T17:55,0.00,12.8
2014-01-21,22.5,18.0,19.5,2014-01-21T07:08,2014-01-21T17:56,2.00,20.1
2014-01-22,18.3,12.7,15.9,2014-01-22T07:07,2014-01-22T17:56,0.00,28.3
2014-01-23,20.9,11.9,16.4,2014-01-23T07:07,2014-01-23T17:57,0.00,17.3
2014-01-24,20.9,15.6,18.0,2014-01-24T07:07,2014-01-24T17:58,0.50,26.7
2014-01-25,23.0,15.6,19.6,2014-01-25T07:07,2014-01-25T17:59,0.30,15.6
2014-01-26,24.4,16.5,20.6,2014-01-26T07:06,2014-01-26T17:59,0.00,14.2
2014-01-27,26.0,20.4,22.8,2014-01-27T07:06,2014-01-27T18:00,0.00,14.1
2014-01-28,26.5,19.0,22.8,2014-01-28T07:06,2014-01-28T18:01,0.00,16.2
2014-01-29,25.0,20.0,22.5,2014-01-29T07:05,2014-01-29T18:02,19.30,23.5
2014-01-30,25.1,20.2,22.0,2014-01-30T07:05,2014-01-30T18:02,15.20,20.9
2014-01-31,26.0,21.0,23.5,2014-01-31T07:04,2014-01-31T18:03,6.60,14.4
2014-02-01,25.8,22.9,24.0,2014-02-01T07:04,2014-02-01T18:04,0.40,18.7
2014-02-02,25.5,22.9,23.9,2014-02-02T07:03,2014-02-02T18:05,0.00,17.8
2014-02-03,25.6,23.4,24.4,2014-02-03T07:03,2014-02-03T18:05,0.20,20.6
2014-02-04,25.7,23.4,24.3,2014-02-04T07:02,2014-02-04T18:06,0.00,21.3
2014-02-05,26.4,23.5,24.8,2014-02-05T07:02,2014-02-05T18:07,0.20,22.1
2014-02-06,26.4,22.2,24.2,2014-02-06T07:01,2014-02-06T18:07,0.00,14.8
2014-02-07,26.1,20.9,23.5,2014-02-07T07:01,2014-02-07T18:08,0.60,9.3
2014-02-08,27.3,21.2,24.0,2014-02-08T07:00,2014-02-08T18:09,0.20,13.0
2014-02-09,25.1,21.0,22.6,2014-02-09T06:59,2014-02-09T18:10,0.10,16.1
2014-02-10,24.6,20.5,22.5,2014-02-10T06:59,2014-02-10T18:10,0.30,13.4
2014-02-11,27.0,20.6,23.4,2014-02-11T06:58,2014-02-11T18:11,0.00,15.1
2014-02-12,26.5,19.5,22.6,2014-02-12T06:57,2014-02-12T18:12,9.50,24.2
2014-02-13,22.8,15.1,20.3,2014-02-13T06:57,2014-02-13T18:12,3.80,26.8
2014-02-14,19.5,12.2,15.8,2014-02-14T06:56,2014-02-14T18:13,0.00,17.4
2014-02-15,24.5,15.3,19.6,2014-02-15T06:55,2014-02-15T18:14,0.00,20.1
2014-02-16,23.1,14.3,18.9,2014-02-16T06:54,2014-02-16T18:14,0.00,16.4
2014-02-17,23.8,16.9,20.9,2014-02-17T06:54,2014-02-17T18:15,0.00,18.1
2014-02-18,24.5,19.9,22.2,2014-02-18T06:53,2014-02-18T18:15,0.00,15.8
2014-02-19,25.2,21.1,23.0,2014-02-19T06:52,2014-02-19T18:16,0.00,17.3
2014-02-20,25.6,22.4,23.9,2014-02-20T06:51,2014-02-20T18:17,0.80,20.4
2014-02-21,26.8,23.5,24.8,2014-02-21T06:50,2014-02-21T18:17,0.00,24.4
2014-02-22,27.0,23.1,24.8,2014-02-22T06:50,2014-02-22T18:18,0.10,15.4
2014-02-23,27.5,22.0,24.3,2014-02-23T06:49,2014-02-23T18:18,0.00,18.0
2014-02-24,28.0,20.8,24.5,2014-02-24T06:48,2014-02-24T18:19,0.00,8.8
2014-02-25,27.2,20.8,23.5,2014-02-25T06:47,2014-02-25T18:20,5.40,11.0
2014-02-26,27.6,19.0,23.4,2014-02-26T06:46,2014-02-26T18:20,0.00,24.8
2014-02-27,24.8,20.5,22.4,2014-02-27T06:45,2014-02-27T18:21,10.30,22.1
2014-02-28,22.5,18.0,20.0,2014-02-28T06:44,2014-02-28T18:21,5.50,17.5
2014-03-01,25.0,17.3,20.9,2014-03-01T06:43,2014-03-01T18:22,0.00,16.8
2014-03-02,24.6,20.7,22.6,2014-03-02T06:42,2014-03-02T18:22,0.00,15.3
2014-03-03,26.0,20.7,23.0,2014-03-03T06:41,2014-03-03T18:23,0.00,14.2
2014-03-04,25.7,18.4,22.3,2014-03-04T06:40,2014-03-04T18:23,0.00,13.0
2014-03-05,26.3,22.5,24.2,2014-03-05T06:39,2014-03-05T18:24,0.40,18.1
2014-03-06,27.1,22.6,24.4,2014-03-06T06:38,2014-03-06T18:25,3.10,29.2
2014-03-07,25.6,17.4,22.1,2014-03-07T06:37,2014-03-07T18:25,0.50,31.4
2014-03-08,22.0,14.0,18.2,2014-03-08T06:36,2014-03-08T18:26,0.00,18.4
2014-03-09,24.9,17.4,21.2,2014-03-09T06:35,2014-03-09T18:26,0.00,11.0
2014-03-10,26.1,18.0,21.9,2014-03-10T06:34,2014-03-10T18:27,0.00,16.6
2014-03-11,26.5,19.2,22.8,2014-03-11T06:33,2014-03-11T18:27,0.00,19.0
2014-03-12,28.2,22.5,24.9,2014-03-12T06:32,2014-03-12T18:28,0.50,22.9
2014-03-13,23.8,18.0,21.2,2014-03-13T06:31,2014-03-13T18:28,0.00,27.2
2014-03-14,22.5,17.5,20.1,2014-03-14T06:30,2014-03-14T18:29,0.00,25.1
